abeyance|suspension, dormancy|continuation, activity
fulminate|rail, rant, denounce|praise, approve
gambol|frolic, romp, skip|
gestation|pregnancy, development, formation|
glib|slick, facile, superficially fluent|sincere, thoughtful
goosebumps|gooseflesh, raised skin|
gradation|progression, degree, gradual change|uniformity, abrupt change
graft|transplant (verb), corruption (noun), hard work (noun)|remove (verb)
grandstand|spectator stand (noun), show off (verb)|act modestly (verb)
grating|rasping, harsh, irritating|soothing, melodious
hallmark|distinguishing feature, stamp, identifying mark|
hand|help, worker, pass|
haven|refuge, sanctuary, shelter|
hedge|barrier (noun), qualify (verb), protect (verb)|expose (verb), state directly (verb)
hermetic|airtight, sealed, isolated|open, permeable
hew|chop, cut, cleave|
homogeneous|uniform, alike, consistent|heterogeneous, varied
husband|spouse (noun), conserve (verb), economize (verb)|squander (verb), waste (verb)
hyperbole|exaggeration, overstatement|understatement, litotes
idiosyncrasy|peculiarity, quirk, distinctive trait|uniformity, conformity
idyllic|ideal, peaceful, picturesque|troubled, unpleasant
ignoble|dishonorable, base, shameful|noble, honorable
illiberal|intolerant, narrow-minded, ungenerous|tolerant, broad-minded, generous
imminent|impending, approaching, near|distant, remote
impermeable|impervious, impenetrable, watertight|permeable, porous
impervious|impenetrable, unaffected, resistant|permeable, susceptible
impetuous|rash, impulsive, headlong|cautious, deliberate
impious|irreverent, sacrilegious, profane|pious, reverent
implication|suggestion, inference, consequence|
inasmuch|since, because, to the extent that|
incendiary|inflammatory, provocative, fire-starting|calming, conciliatory
inculcate|instill, impress upon, teach repeatedly|
indefatigable|tireless, untiring, persistent|weary, lazy
inert|inactive, motionless, unreactive|active, reactive
inexorable|relentless, unstoppable, unyielding|yielding, preventable
inform|tell, notify, influence|misinform, mislead
ingrate|ungrateful person|
ingratiate|curry favor, win favor|
insinuate|imply, suggest, introduce subtly|state explicitly, declare
insipid|bland, tasteless, dull|flavorful, stimulating
insular|narrow-minded, isolated, parochial|open-minded, cosmopolitan
invidious|resentment-provoking, unfair, discriminatory|fair, impartial
itinerary|travel plan, route, schedule|
jingoism|aggressive nationalism, chauvinism|internationalism, pacifism
jocular|joking, humorous, playful|serious, solemn
juxtapose|place side by side, set alongside|separate
knell|death bell, toll, sign of an ending|
latent|hidden, dormant, undeveloped|manifest, active
layperson|nonspecialist, nonexpert|expert, specialist
levy|impose (verb), tax (noun), collect (verb)|repeal (verb)
libertine|debauchee, hedonist, dissolute person|ascetic, moralist
licentious|dissolute, debauched, unrestrained|chaste, restrained
likewise|similarly, also, in the same way|differently
lionize|celebrate, glorify, idolize|disparage, ignore
log|record, journal, timber|
lucid|clear, intelligible, coherent|obscure, confused
lumber|timber (noun), plod (verb), move heavily (verb)|glide (verb)
makeshift|improvised, temporary, stopgap|permanent, purpose-built
malinger|feign illness, shirk|
mar|spoil, damage, impair|improve, restore
meretricious|tawdry, flashy, superficially attractive|genuine, tasteful
meticulous|careful, painstaking, exact|careless, sloppy
mired|bogged down, entangled, stuck|freed, disentangled
misanthrope|people-hater, cynic|philanthropist
modicum|small amount, little, trace|abundance, plenty
monastic|monkish, cloistered, ascetic|secular, worldly
moreover|furthermore, additionally, besides|
mores|customs, conventions, social norms|
myopic|nearsighted, shortsighted, narrow-minded|farsighted, broad-minded
neologism|new word, coinage, new expression|
net|mesh (noun), obtain (verb), after deductions (adjective)|gross (adjective)
nontrivial|significant, substantial, consequential|trivial, insignificant
notoriety|infamy, disrepute, ill fame|good reputation, obscurity
novel|new (adjective), original (adjective), fiction (noun)|familiar (adjective), conventional (adjective)
nuance|subtle difference, shade, distinction|
objective|impartial (adjective), factual (adjective), goal (noun)|subjective (adjective), biased (adjective)
obsequious|servile, fawning, sycophantic|assertive, independent
officious|meddlesome, intrusive, overbearing|unobtrusive, restrained
offset|counterbalance, compensate for, counteract|reinforce, exacerbate
optimal|best, ideal, most favorable|worst, least favorable
optimum|best, ideal, most favorable|worst, least favorable
orthodox|conventional, traditional, accepted|unorthodox, unconventional
ostensible|apparent, professed, purported|actual, real
ostentatious|showy, pretentious, flashy|modest, understated
palliate|alleviate, ease, mitigate|aggravate, worsen
panoply|array, impressive display, full set|
paradox|apparent contradiction, seeming inconsistency|
paragon|model of excellence, exemplar, ideal|
parley|discussion, negotiation, conference|
partial|biased, incomplete, fond of|impartial, complete
partisan|biased, devoted supporter, resistance fighter|impartial, neutral
patent|exclusive right (noun), obvious (adjective), protect (verb)|obscure (adjective), hidden (adjective)
pathogenic|disease-causing, harmful|nonpathogenic
pathological|disease-related, compulsive, abnormal|healthy, normal
peccadillo|minor fault, small offense, lapse|
pedant|nitpicker, stickler, hairsplitter|
pedestrian|ordinary (adjective), dull (adjective), walker (noun)|imaginative (adjective), original (adjective)
per|for each, according to, through|
perennial|lasting, recurring, enduring|temporary, short-lived
perfunctory|cursory, mechanical, indifferent|thorough, attentive
philanthropy|charity, benevolence, generosity|selfishness, miserliness
philistine|uncultured person, materialist|connoisseur, aesthete
pious|devout, religious, reverent|impious, irreverent
plebeian|common, ordinary, working-class|aristocratic, patrician
plucky|brave, spirited, courageous|timid, cowardly
plutocracy|rule by the wealthy, wealthy ruling class|
polyglot|multilingual, multilingual person|monolingual
posit|postulate, propose, assume|deny, reject
posthumous|after death, following death|during life
prattle|babble, chatter, idle talk|
pre|before, earlier than|after, post
precarious|unstable, insecure, risky|secure, stable
prescient|foresighted, predictive, foreknowing|unaware, shortsighted
prevaricate|equivocate, evade, lie|speak honestly, be direct
prodigious|enormous, extraordinary, remarkable|small, ordinary
prophetic|predictive, foretelling, prescient|
propitious|favorable, promising, auspicious|unfavorable, inauspicious
proxy|representative, substitute, delegate|
pugilism|boxing, prizefighting|
pulchritude|beauty, loveliness, attractiveness|ugliness
quandary|dilemma, uncertainty, predicament|certainty
quotidian|daily, everyday, ordinary|unusual, extraordinary
rarefied|thin (air), exclusive, elevated|dense (air), ordinary
reactant|reacting substance, starting material|
recrudescence|recurrence, resurgence, reappearance|subsidence, disappearance
redress|remedy (verb), compensation (noun), rectify (verb)|worsen (verb)
relegate|demote, consign, banish|promote, elevate
repertory|repertoire, collection of works|
replete|full, abundant, well supplied|empty, lacking
reproach|rebuke, criticize, blame|praise, commend
requite|repay, reciprocate, return|leave unreturned
respectively|in that order, correspondingly|
retrospective|backward-looking, reviewing the past|prospective, forward-looking
rhetoric|persuasive speech, oratory, empty language|
rue|regret, lament, repent|welcome, celebrate
salient|prominent, noticeable, important|inconspicuous, minor
sardonic|scornful, mocking, cynical|sincere, warm
satiate|satisfy, fill, sate|deprive, starve
savant|scholar, learned person, expert|novice, ignoramus
scathing|withering, severe, harsh|gentle, complimentary
scurvy|vitamin C deficiency disease|
searchingly|probingly, penetratingly, scrutinizingly|superficially, casually
sedulous|diligent, assiduous, persistent|lazy, negligent
semantic|meaning-related|
seraphic|angelic, serene, blissful|devilish, troubled
sinecure|easy paid position, undemanding post|
skeptic|doubter, questioner, disbeliever|believer, credulous person
solecism|grammatical error, social blunder, impropriety|correct usage, propriety
solidarity|unity, mutual support, cohesion|division, discord
soporific|sleep-inducing, drowsy-making, dull|stimulating, rousing
sound|noise (noun), reliable (adjective), healthy (adjective)|unsound (adjective), faulty (adjective)
squalid|filthy, wretched, sordid|clean, respectable
stark|bare, harsh, striking|softened, ornate
stasis|inactivity, standstill, equilibrium|change, movement
status|position, condition, rank|
stint|period, spell, restrict|lavish (verb)
stoic|uncomplaining, enduring, impassive|complaining, emotional
subjective|personal, opinion-based, individual|objective, impartial
subpoena|summons, order to appear|
supplicate|implore, beseech, entreat|demand
sycophant|flatterer, toady, bootlicker|independent critic
synoptic|summarizing, comprehensive, overview-based|detailed, piecemeal
table|tabulate (verb), propose (verb), postpone (verb)|
taciturn|reserved, uncommunicative, reticent|talkative, loquacious
tawdry|cheap, gaudy, tasteless|elegant, tasteful
tendentious|biased, partisan, slanted|impartial, balanced
toady|flatterer, sycophant, fawn|
torpor|lethargy, sluggishness, inactivity|vigor, alertness
turgid|swollen, inflated, bombastic|deflated, concise
ubiquitous|omnipresent, pervasive, widespread|rare, localized
unconscionable|outrageous, unscrupulous, excessive|reasonable, ethical
untempered|unmoderated, unrestrained, unsoftened|tempered, moderated
verisimilar|lifelike, plausible, realistic|implausible, unrealistic
vernal|springlike, springtime, youthful|autumnal, wintry
vicissitudes|changes, fluctuations, ups and downs|stability, constancy
wanton|gratuitous, reckless, unrestrained|restrained, deliberate
whereas|while, although, in contrast|
whitewash|cover up (verb), exonerate falsely (verb), lime wash (noun)|expose (verb), reveal (verb)
winnow|sift, separate, select|mix, combine
winsome|charming, engaging, appealing|unappealing, disagreeable
zeal|enthusiasm, fervor, ardor|apathy, indifference
